GAMECODE,GAME_DATE_EST,GAME_ID,GAME_SEQUENCE,GAME_STATUS_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,LIVE_PC_TIME,LIVE_PERIOD,LIVE_PERIOD_TIME_BCAST,NATL_TV_BROADCASTER_ABBREVIATION,SEASON,VISITOR_TEAM_ID,WH_STATUS,ATTENDANCE,GAME_DATE,GAME_TIME
20191108/SACATL,2019-11-08T00:00:00,21900119,4,3,Final,1610612737,     ,4,Q4       - ,,2019,1610612758,1,16447,"FRIDAY, NOVEMBER 8, 2019",2:06
20191108/GSWMIN,2019-11-08T00:00:00,21900120,5,3,Final,1610612750,     ,5,Q5       - ,,2019,1610612744,1,15647,"FRIDAY, NOVEMBER 8, 2019",2:42
20191108/TORNOP,2019-11-08T00:00:00,21900121,6,3,Final,1610612740,     ,4,Q4       - ,,2019,1610612761,1,16337,"FRIDAY, NOVEMBER 8, 2019",2:13
20191108/NYKDAL,2019-11-08T00:00:00,21900122,7,3,Final,1610612742,     ,4,Q4       - ,,2019,1610612752,1,20257,"FRIDAY, NOVEMBER 8, 2019",2:17
20191108/PHIDEN,2019-11-08T00:00:00,21900123,8,3,Final,1610612743,     ,4,Q4       - ,,2019,1610612755,1,19520,"FRIDAY, NOVEMBER 8, 2019",2:13
20191108/MILUTA,2019-11-08T00:00:00,21900124,9,3,Final,1610612762,     ,4,Q4       - ,,2019,1610612749,1,18306,"FRIDAY, NOVEMBER 8, 2019",2:34
20191108/BKNPOR,2019-11-08T00:00:00,21900125,10,3,Final,1610612757,     ,4,Q4       - ,,2019,1610612751,1,20089,"FRIDAY, NOVEMBER 8, 2019",2:20
20191108/MIALAL,2019-11-08T00:00:00,21900126,11,3,Final,1610612747,     ,4,Q4       - NBA TV,NBA TV,2019,1610612748,1,18997,"FRIDAY, NOVEMBER 8, 2019",2:14
20191109/BOSSAS,2019-11-09T00:00:00,21900127,1,3,Final,1610612759,     ,4,Q4       - ,,2019,1610612738,1,18354,"SATURDAY, NOVEMBER 9, 2019",2:19
20191109/NOPCHA,2019-11-09T00:00:00,21900128,2,3,Final,1610612766,     ,4,Q4       - ,,2019,1610612740,1,18513,"SATURDAY, NOVEMBER 9, 2019",2:23
